Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI%,DS,DIX,Ybu,Ykg
2018,Arlington,3,Full-,315,21,3,30,170,AR1R3,0,0,0,87.56,5888.41
2018,Arlington,3,Full-,316,18,3,30,140,AR1R3,0,0,0,72.7,4889.075
2018,Arlington,3,Full-,317,16,3,30,140,NT,0,0,0,85.23,5731.7175
2018,Arlington,3,Full-,318,17,3,30,140,Amodel,0,0,0,81.81,5501.7225
2018,Arlington,3,Full-,319,22,3,30,200,NT,0,0,0,73.43,4938.1675
2018,Arlington,3,Full-,320,24,3,30,200,AR1R3,0,0,0,80.89,5439.8525
2018,Arlington,3,Full-,321,23,3,30,200,Amodel,0,0,0,83.68,5627.48
2018,Arlington,3,Full-,322,13,3,30,110,NT,0,0,0,65.58,4410.255
2018,Arlington,3,Full-,323,15,3,30,110,AR1R3,0,0,0,77.44,5207.84
2018,Arlington,3,Full-,324,14,3,30,110,Amodel,0,0,0,78.12,5253.57
2018,Arlington,3,Full-,401,11,4,15,200,Amodel,0,0,0,97.85,6580.4125
2018,Arlington,3,Full-,402,10,4,15,200,NT,0,0,0,77.88,5237.43
2018,Arlington,3,Full-,403,12,4,15,200,AR1R3,0,0,0,89.31,6006.0975
2018,Arlington,3,Full-,404,7,4,15,170,NT,0,0,0,82.6,5554.85
2018,Arlington,3,Full-,405,9,4,15,170,AR1R3,0,0,0,82.27,5532.6575
2018,Arlington,3,Full-,406,8,4,15,170,Amodel,0,0,0,87.81,5905.2225
2018,Arlington,3,Full-,407,1,4,15,110,NT,0,0,0,69.41,4667.8225
2018,Arlington,3,Full-,408,2,4,15,110,Amodel,0,0,0,89.53,6020.8925
2018,Arlington,3,Full-,409,3,4,15,110,AR1R3,0,0,0,83.87,5640.2575
2018,Arlington,3,Full-,410,6,4,15,140,AR1R3,0,0,0,78.86,5303.335
2018,Arlington,3,Full-,411,4,4,15,140,NT,0,0,0,77.91,5239.4475
2018,Arlington,3,Full-,412,5,4,15,140,Amodel,0,0,0,85.2,5729.7
2018,Arlington,3,Full-,413,21,4,30,170,AR1R3,0,0,0,81.75,5497.6875
2018,Arlington,3,Full-,414,20,4,30,170,Amodel,0,0,0,82.55,5551.4875
2018,Arlington,3,Full-,415,19,4,30,170,NT,0,0,0,75.69,5090.1525
2018,Arlington,3,Full-,416,14,4,30,110,Amodel,0,0,0,75.25,5060.5625
2018,Arlington,3,Full-,417,15,4,30,110,AR1R3,0,0,0,78.62,5287.195
2018,Arlington,3,Full-,418,13,4,30,110,NT,0,0,0,83.17,5593.1825
2018,Arlington,3,Full-,419,17,4,30,140,Amodel,0,0,0,73.1,4915.975
2018,Arlington,3,Full-,420,18,4,30,140,AR1R3,0,0,0,81.22,5462.045
2018,Arlington,3,Full-,421,16,4,30,140,NT,0,0,0,79.15,5322.8375
2018,Arlington,3,Full-,422,24,4,30,200,AR1R3,0,0,0,84.61,5690.0225
2018,Arlington,3,Full-,423,23,4,30,200,Amodel,0,0,0,74.6,5016.85
2018,Arlington,3,Full-,424,22,4,30,200,NT,0,0,0,80.06,5384.035
2018,Dekalb,4,Full-,101,22,1,30,200,NT,0,0,0,89.98,6051.155
2018,Dekalb,4,Full-,102,23,1,30,200,Amodel,0,0,0,89.26,6002.735
2018,Dekalb,4,Full-,103,24,1,30,200,AR1R3,0,0,0,85.87,5774.7575
2018,Dekalb,4,Full-,104,16,1,30,140,NT,0,0,0,83.59,5621.4275
2018,Dekalb,4,Full-,105,17,1,30,140,Amodel,0,0,0,82.57,5552.8325
2018,Dekalb,4,Full-,106,18,1,30,140,AR1R3,0,0,0,81.78,5499.705
2018,Dekalb,4,Full-,107,19,1,30,170,NT,0,0,0,80.09,5386.0525
2018,Dekalb,4,Full-,108,20,1,30,170,Amodel,0,0,0,87.86,5908.585
2018,Dekalb,4,Full-,109,21,1,30,170,AR1R3,0,0,0,92.6,6227.35
2018,Dekalb,4,Full-,110,14,1,30,110,Amodel,0,0,0,82.98,5580.405
2018,Dekalb,4,Full-,111,13,1,30,110,NT,0,0,0,81.26,5464.735
2018,Dekalb,4,Full-,112,15,1,30,110,AR1R3,0,0,0,78.19,5258.2775
2018,Dekalb,4,Full-,113,11,1,15,200,Amodel,0,0,0,99.31,6678.5975
2018,Dekalb,4,Full-,114,10,1,15,200,NT,0,0,0,90.83,6108.3175
2018,Dekalb,4,Full-,115,12,1,15,200,AR1R3,0,0,0,98.3,6610.675
2018,Dekalb,4,Full-,116,5,1,15,140,Amodel,0,0,0,89.92,6047.12
2018,Dekalb,4,Full-,117,4,1,15,140,NT,0,0,0,94.89,6381.3525
2018,Dekalb,4,Full-,118,6,1,15,140,AR1R3,0,0,0,87.9,5911.275
2018,Dekalb,4,Full-,119,7,1,15,170,NT,0,0,0,96.52,6490.97
2018,Dekalb,4,Full-,120,8,1,15,170,Amodel,0,0,0,97.39,6549.4775
2018,Dekalb,4,Full-,121,9,1,15,170,AR1R3,0,0,0,94.2,6334.95
2018,Dekalb,4,Full-,122,1,1,15,110,NT,0,0,0,80.04,5382.69
2018,Dekalb,4,Full-,123,2,1,15,110,Amodel,0,0,0,80.86,5437.835
2018,Dekalb,4,Full-,124,3,1,15,110,AR1R3,0,0,0,86.66,5827.885
2018,Dekalb,4,Full-,201,18,2,30,140,AR1R3,0,0,0,90.25,6069.3125
2018,Dekalb,4,Full-,202,17,2,30,140,Amodel,0,0,0,79.75,5363.1875
2018,Dekalb,4,Full-,203,16,2,30,140,NT,0,0,0,83.39,5607.9775
