Yr,Loc,Env,Dis,Group,Trt,Rep,Row,Pop,Pop.ha,Fung,DI,DS,DIX,Ybu,Ykg,Inc_9,Inc_12,Inc_15,Seed.cost,Fung.cost,Total.cost,Profit9,Profit12,Profit15,PredSclerkg
2018,Arlington,Arlington-2018,0,Fully,17,2,30,140000,345000,Amodel,0,0,0,82.62,5556.2,1833.5,2444.7,3055.9,152.8,57.3,210,1623.5,2234.7,2845.9,0
2018,Arlington,Arlington-2018,0,Fully,23,3,30,200000,495000,Amodel,0,0,0,83.68,5627.5,1857.1,2476.1,3095.1,219.2,57.3,276.5,1580.6,2199.6,2818.6,0
2018,Arlington,Arlington-2018,0,Fully,20,1,30,170000,420000,Amodel,0,0,0,92.48,6219.3,2052.4,2736.5,3420.6,186,57.3,243.3,1809.1,2493.2,3177.3,0
2018,Arlington,Arlington-2018,0,Fully,23,2,30,200000,495000,Amodel,0,0,0,93.43,6283.2,2073.4,2764.6,3455.7,219.2,57.3,276.5,1797,2488.1,3179.3,0
2019,Arlington,Arlington-2019,0,Fully,5,2,15,140000,345000,Amodel,0,0,0,55.56,3736.4,1233,1644,2055,152.8,57.3,210,1023,1434,1845,0
2019,Arlington,Arlington-2019,0,Fully,2,1,15,110000,270000,Amodel,0,0,0,55.64,3741.8,1234.8,1646.4,2058,119.6,57.3,176.8,1058,1469.6,1881.2,0
2019,Arlington,Arlington-2019,0,Fully,5,3,15,140000,345000,Amodel,0,0,0,61.2,4115.7,1358.2,1810.9,2263.6,152.8,57.3,210,1148.1,1600.9,2053.6,0
2019,Arlington,Arlington-2019,0,Fully,11,3,15,200000,495000,Amodel,0,0,0,62.14,4178.9,1379,1838.7,2298.4,219.2,57.3,276.5,1102.6,1562.2,2021.9,0
2019,Arlington,Arlington-2019,0,Fully,5,4,15,140000,345000,Amodel,0,0,0,63.96,4301.3,1419.4,1892.6,2365.7,152.8,57.3,210,1209.4,1682.5,2155.7,0
2019,Arlington,Arlington-2019,0,Fully,2,2,15,110000,270000,Amodel,0,0,0,65.73,4420.3,1458.7,1945,2431.2,119.6,57.3,176.8,1281.9,1768.1,2254.4,0
2019,Arlington,Arlington-2019,0,Fully,5,1,15,140000,345000,Amodel,0,0,0,68.23,4588.5,1514.2,2018.9,2523.7,152.8,57.3,210,1304.1,1808.9,2313.6,0
2019,Arlington,Arlington-2019,0,Fully,2,4,15,110000,270000,Amodel,0,0,0,68.8,4626.8,1526.8,2035.8,2544.7,119.6,57.3,176.8,1350,1859,2367.9,0
