Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI,DS,DIX,Ybu,Ykg
2019,Hancock,14,Full+,309,5,3,15,140,Amodel,0,0,0,73.07,4913.9575
2019,Hancock,14,Full+,310,9,3,15,170,AR1R3,1.91,3,1.91,81.58,5486.255
2019,Hancock,14,Full+,311,7,3,15,170,NT,4.85,3,4.85,76.99,5177.5775
2019,Hancock,14,Full+,312,8,3,15,170,Amodel,0.64,3,0.64,71.26,4792.235
2019,Hancock,14,Full+,313,16,3,30,140,NT,4.61,2.33,3.58,74.26,4993.985
2019,Hancock,14,Full+,314,18,3,30,140,AR1R3,0.29,3,0.29,84.17,5660.4325
2019,Hancock,14,Full+,315,17,3,30,140,Amodel,0.9,3,0.9,80.08,5385.38
2019,Hancock,14,Full+,316,21,3,30,170,AR1R3,0,0,0,83.4,5608.65
2019,Hancock,14,Full+,317,19,3,30,170,NT,1.09,3,1.09,72.32,4863.52
2019,Hancock,14,Full+,318,20,3,30,170,Amodel,0,0,0,72.85,4899.1625
2019,Hancock,14,Full+,319,22,3,30,200,NT,1.42,2.33,1.1,81.07,5451.9575
2019,Hancock,14,Full+,320,24,3,30,200,AR1R3,1.35,2.33,1.05,80.88,5439.18
2019,Hancock,14,Full+,321,23,3,30,200,Amodel,0,0,0,72.55,4878.9875
2019,Hancock,14,Full+,322,14,3,30,110,Amodel,0.35,3,0.35,68.5,4606.625
2019,Hancock,14,Full+,323,13,3,30,110,NT,6.86,3,6.86,67.38,4531.305
2019,Hancock,14,Full+,324,15,3,30,110,AR1R3,0.5,1,0.17,76.09,5117.0525
2019,Hancock,14,Full+,401,12,4,15,200,AR1R3,1.72,3,1.72,82.82,5569.645
2019,Hancock,14,Full+,402,11,4,15,200,Amodel,0.63,1,0.21,86.38,5809.055
2019,Hancock,14,Full+,403,10,4,15,200,NT,5.62,2.6,4.87,84.66,5693.385
2019,Hancock,14,Full+,404,2,4,15,110,Amodel,5.31,3,5.31,83.5,5615.375
2019,Hancock,14,Full+,405,3,4,15,110,AR1R3,2.08,3,2.08,81.26,5464.735
2019,Hancock,14,Full+,406,1,4,15,110,NT,2.41,3,2.41,72.45,4872.2625
2019,Hancock,14,Full+,407,6,4,15,140,AR1R3,6.14,3,6.14,81,5447.25
2019,Hancock,14,Full+,408,5,4,15,140,Amodel,0,0,0,85.03,5718.2675
2019,Hancock,14,Full+,409,4,4,15,140,NT,1.32,3,1.32,80.06,5384.035
2019,Hancock,14,Full+,410,8,4,15,170,Amodel,1.67,3,1.67,83.54,5618.065
2019,Hancock,14,Full+,411,9,4,15,170,AR1R3,5.63,3,5.63,85.06,5720.285
2019,Hancock,14,Full+,412,7,4,15,170,NT,9.15,3,9.15,88.1,5924.725
2019,Hancock,14,Full+,413,16,4,30,140,NT,4.12,2.6,3.57,71.49,4807.7025
2019,Hancock,14,Full+,414,17,4,30,140,Amodel,1.61,2,1.08,75.84,5100.24
2019,Hancock,14,Full+,415,18,4,30,140,AR1R3,1.23,3,1.23,84.07,5653.7075
2019,Hancock,14,Full+,416,13,4,30,110,NT,3.96,2.5,3.3,77.31,5199.0975
2019,Hancock,14,Full+,417,15,4,30,110,AR1R3,0,0,0,73.34,4932.115
2019,Hancock,14,Full+,418,14,4,30,110,Amodel,0,0,0,73.64,4952.29
2019,Hancock,14,Full+,419,19,4,30,170,NT,3.62,2.5,3.02,77.48,5210.53
2019,Hancock,14,Full+,420,21,4,30,170,AR1R3,0,0,0,82.87,5573.0075
2019,Hancock,14,Full+,421,20,4,30,170,Amodel,0.34,2,0.23,73.77,4961.0325
2019,Hancock,14,Full+,422,23,4,30,200,Amodel,0.67,3,0.67,70.07,4712.2075
2019,Hancock,14,Full+,423,24,4,30,200,AR1R3,0.61,3,0.61,75.54,5080.065
2019,Hancock,14,Full+,424,22,4,30,200,NT,8.3,3,8.3,71.64,4817.79
2019,Lewiston,12,Full+,101,8,1,15,170,Amodel,1.33,3,1.33,81.33,5469.4425
2019,Lewiston,12,Full+,102,7,1,15,170,NT,5.23,1.71,2.99,90.95,6116.3875
2019,Lewiston,12,Full+,103,9,1,15,170,AR1R3,1.98,3,1.98,100.77,6776.7825
2019,Lewiston,12,Full+,104,1,1,15,110,NT,1.71,3,1.71,79.02,5314.095
2019,Lewiston,12,Full+,105,2,1,15,110,Amodel,5.93,2,3.95,74.98,5042.405
2019,Lewiston,12,Full+,106,3,1,15,110,AR1R3,9.33,2.09,6.51,73.7,4956.325
2019,Lewiston,12,Full+,107,4,1,15,140,NT,19.85,2.67,17.65,77.32,5199.77
2019,Lewiston,12,Full+,108,5,1,15,140,Amodel,16.36,2.5,13.64,62.7,4216.575
2019,Lewiston,12,Full+,109,6,1,15,140,AR1R3,3.67,2.2,2.69,76.93,5173.5425
2019,Lewiston,12,Full+,110,11,1,15,200,Amodel,2.52,3,2.52,86.44,5813.09
2019,Lewiston,12,Full+,111,10,1,15,200,NT,4.3,2.4,3.44,88.91,5979.1975
2019,Lewiston,12,Full+,112,12,1,15,200,AR1R3,1.18,1,0.39,99.8,6711.55
2019,Lewiston,12,Full+,113,16,1,30,140,NT,1.36,2,0.9,81.66,5491.635
2019,Lewiston,12,Full+,114,18,1,30,140,AR1R3,2.3,2.5,1.92,80.12,5388.07
2019,Lewiston,12,Full+,115,17,1,30,140,Amodel,1.92,1.8,1.15,88.73,5967.0925
2019,Lewiston,12,Full+,116,24,1,30,200,AR1R3,1.67,3,1.67,81.47,5478.8575
2019,Lewiston,12,Full+,117,22,1,30,200,NT,5.92,2.64,5.21,77.53,5213.8925
2019,Lewiston,12,Full+,118,23,1,30,200,Amodel,8.12,2.56,6.94,75.47,5075.3575
2019,Lewiston,12,Full+,119,19,1,30,170,NT,4.29,1.7,2.43,80.01,5380.6725
2019,Lewiston,12,Full+,120,20,1,30,170,Amodel,9.09,2.5,7.58,65.33,4393.4425
2019,Lewiston,12,Full+,121,21,1,30,170,AR1R3,0,0,0,94.56,6359.16
2019,Lewiston,12,Full+,122,13,1,30,110,NT,1.69,2.25,1.27,76.43,5139.9175
2019,Lewiston,12,Full+,123,14,1,30,110,Amodel,3.63,2.33,2.82,78.95,5309.3875
2019,Lewiston,12,Full+,124,15,1,30,110,AR1R3,1.71,2.33,1.33,91.84,6176.24
2019,Lewiston,12,Full+,201,12,2,15,200,AR1R3,2.76,3,2.76,92.42,6215.245
2019,Lewiston,12,Full+,202,10,2,15,200,NT,5.32,3,5.32,91.02,6121.095
2019,Lewiston,12,Full+,203,11,2,15,200,Amodel,2.83,1.67,1.57,94.29,6341.0025
2019,Lewiston,12,Full+,204,9,2,15,170,AR1R3,4.58,3,4.58,89.76,6036.36
2019,Lewiston,12,Full+,205,8,2,15,170,Amodel,2.59,2.33,2.01,93.74,6304.015
2019,Lewiston,12,Full+,206,7,2,15,170,NT,3,2.67,2.67,96.66,6500.385
2019,Lewiston,12,Full+,207,2,2,15,110,Amodel,1.25,3,1.25,86.04,5786.19
2019,Lewiston,12,Full+,208,1,2,15,110,NT,24.65,2.67,21.91,67.63,4548.1175
2019,Lewiston,12,Full+,209,3,2,15,110,AR1R3,2.82,2.33,2.19,80.26,5397.485
2019,Lewiston,12,Full+,210,4,2,15,140,NT,3.51,2,2.34,85.91,5777.4475
2019,Lewiston,12,Full+,211,5,2,15,140,Amodel,5.71,2.5,4.76,79.65,5356.4625
2019,Lewiston,12,Full+,212,6,2,15,140,AR1R3,2.29,2.71,2.08,95.67,6433.8075
2019,Lewiston,12,Full+,213,17,2,30,140,Amodel,1.53,2.33,1.19,78.16,5256.26
2019,Lewiston,12,Full+,214,18,2,30,140,AR1R3,0,1,0,84.87,5707.5075
2019,Lewiston,12,Full+,215,16,2,30,140,NT,6.41,2.64,5.63,80.68,5425.73
2019,Lewiston,12,Full+,216,15,2,30,110,AR1R3,0.34,3,0.34,83.43,5610.6675
2019,Lewiston,12,Full+,217,14,2,30,110,Amodel,6.28,2.56,5.35,71.05,4778.1125
2019,Lewiston,12,Full+,218,13,2,30,110,NT,6.86,2.08,4.75,79.52,5347.72
2019,Lewiston,12,Full+,219,21,2,30,170,AR1R3,0,0,0,84.82,5704.145
2019,Lewiston,12,Full+,220,19,2,30,170,NT,4.35,3,4.35,74.09,4982.5525
2019,Lewiston,12,Full+,221,20,2,30,170,Amodel,6.95,2.4,5.56,76.64,5154.04
2019,Lewiston,12,Full+,222,24,2,30,200,AR1R3,2.15,2.67,1.91,85.2,5729.7
2019,Lewiston,12,Full+,223,22,2,30,200,NT,2.22,2.14,1.58,78.65,5289.2125
2019,Lewiston,12,Full+,224,23,2,30,200,Amodel,12.05,2.7,10.85,75.95,5107.6375
2019,Lewiston,12,Full+,301,6,3,15,140,AR1R3,1.75,1,0.58,90.84,6108.99
2019,Lewiston,12,Full+,302,5,3,15,140,Amodel,6.12,2.6,5.31,89.13,5993.9925
2019,Lewiston,12,Full+,303,4,3,15,140,NT,1.24,3,1.24,88.49,5950.9525
2019,Lewiston,12,Full+,304,7,3,15,170,NT,4.37,2.33,3.4,83.82,5636.895
2019,Lewiston,12,Full+,305,8,3,15,170,Amodel,6.67,1.8,4,80.38,5405.555
2019,Lewiston,12,Full+,306,9,3,15,170,AR1R3,2.82,3,2.82,102.95,6923.3875
2019,Lewiston,12,Full+,307,3,3,15,110,AR1R3,0,0,0,85.8,5770.05
2019,Lewiston,12,Full+,308,2,3,15,110,Amodel,2.48,2,1.65,92.76,6238.11
2019,Lewiston,12,Full+,309,1,3,15,110,NT,5.6,2,3.73,83.29,5601.2525
2019,Lewiston,12,Full+,310,11,3,15,200,Amodel,10.63,2,7.08,89.71,6032.9975
2019,Lewiston,12,Full+,311,12,3,15,200,AR1R3,8.21,2,5.47,95.42,6416.995
2019,Lewiston,12,Full+,312,10,3,15,200,NT,5.8,1.88,3.62,94.38,6347.055
2019,Lewiston,12,Full+,313,19,3,30,170,NT,9.05,2.67,8.04,83.7,5628.825
2019,Lewiston,12,Full+,314,20,3,30,170,Amodel,3.63,3,3.63,82.87,5573.0075
2019,Lewiston,12,Full+,315,21,3,30,170,AR1R3,2.53,2.2,1.86,88.45,5948.2625
2019,Lewiston,12,Full+,316,22,3,30,200,NT,2.03,2.5,1.69,76.95,5174.8875
2019,Lewiston,12,Full+,317,23,3,30,200,Amodel,1.81,1.8,1.08,80.09,5386.0525
2019,Lewiston,12,Full+,318,24,3,30,200,AR1R3,0.28,3,0.28,92.75,6237.4375
2019,Lewiston,12,Full+,319,14,3,30,110,Amodel,2.97,2.5,2.48,78.01,5246.1725
2019,Lewiston,12,Full+,320,13,3,30,110,NT,2.59,2.6,2.25,78.11,5252.8975
2019,Lewiston,12,Full+,321,15,3,30,110,AR1R3,3.92,2.71,3.55,80.05,5383.3625
2019,Lewiston,12,Full+,322,16,3,30,140,NT,7.55,2.23,5.62,80.1,5386.725
2019,Lewiston,12,Full+,323,17,3,30,140,Amodel,4.78,2.33,3.72,79.91,5373.9475
2019,Lewiston,12,Full+,324,18,3,30,140,AR1R3,2.65,2.57,2.27,89.58,6024.255
2019,Lewiston,12,Full+,401,13,4,30,110,NT,4.89,2,3.26,76.27,5129.1575
2019,Lewiston,12,Full+,402,14,4,30,110,Amodel,2.33,3,2.33,80.48,5412.28
2019,Lewiston,12,Full+,403,15,4,30,110,AR1R3,0,0,0,92.62,6228.695
2019,Lewiston,12,Full+,404,20,4,30,170,Amodel,7.23,2.64,6.35,85.46,5747.185
